resource,出现次数,平均relevance,平均actionability,代表性证据,note_url
Hello-agents,4,3.2,3.0,当然还有各大厂开源的Coding CLI也是很值得学习的，其他各种各样垂类的Agent其实没太大必要学，原理都是相通的，否则永远也学不完的项目。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
MCP,4,1.8,1.5,你以为Agent、MCP、Skill、Claude Code、OpenClaw是5个并列概念？它们其实是一栋楼的不同层！,https://www.xiaohongshu.com/explore/69dee883000000001a02e821?xsec_token=ABkgE-D9gv6c29MmvkPFTaUCuJBZKinncpDhoun5BEOs4=&xsec_source=pc_search
OpenClaw,4,2.2,2.0,你以为Agent、MCP、Skill、Claude Code、OpenClaw是5个并列概念？它们其实是一栋楼的不同层！,https://www.xiaohongshu.com/explore/69dee883000000001a02e821?xsec_token=ABkgE-D9gv6c29MmvkPFTaUCuJBZKinncpDhoun5BEOs4=&xsec_source=pc_search
Deer-flow,4,3.2,3.0,当然还有各大厂开源的Coding CLI也是很值得学习的，其他各种各样垂类的Agent其实没太大必要学，原理都是相通的，否则永远也学不完的项目。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
黑马程序员深度学习课程,4,3.5,3.8,随便投个学历厂拿段实习吧主播，暑期和日常都行，其实没必要学这么多，agent方向很多东西你能有个概念能答上来就行了，反而是开发的八股会问的细,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
Datawhale,4,2.5,2.0,标题太实在了，感觉这类清单式项目总结真的很解压，少走很多弯路，有空想看下你是怎么选出这四个的,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
YouTube,4,2.2,1.8,"mcp,rag,agent是目前的三板斧，整体可以被skill抽象化",https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
minimax,4,3.8,3.8,手撕代码：torch写SFT的loss计算代码（注意shift right）,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
力扣,4,3.8,4.0,那个旅游agent其实也很简单 感觉helloagent里大部分讲他框架怎么设计 但是实际没什么要翘的代码,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
字节跳动,4,3.5,3.8,它通过三个链路完美闭环，让AI像真正的好朋友一样“自主呼吸”～,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
程序员客栈,4,1.5,2.2,35岁被优化那天，靠什么养家？别等到那天，才后悔没早点动手。,https://www.xiaohongshu.com/explore/68eaf2e000000000040037fe?xsec_token=ABzUA-CrFC_yNTMSaDhcQ9cWbg3T-hL-XQgTY0j-QLofI=&xsec_source=pc_search
DPO,3,4.0,4.0,手撕代码：torch写SFT的loss计算代码（注意shift right）,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
PPO,3,4.0,4.0,手撕代码：torch写SFT的loss计算代码（注意shift right）,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
Redis,3,4.7,4.7,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search
Node.js,3,2.7,2.7,项目就是 P2 的 learn-claude-code，在学习的这两小时里，star 数又涨了 1k，参考 README 上写的，就是一个渐进式 Agent 设计教程,https://www.xiaohongshu.com/explore/69b98f42000000001e00dedd?xsec_token=ABpOjDfNa32uGudL3LKs_tpqpVYa-j-eVcOU9qkcbjY9Y=&xsec_source=pc_search
SFT,3,4.0,4.0,手撕代码：torch写SFT的loss计算代码（注意shift right）,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
Upwork,3,1.3,2.0,35岁被优化那天，靠什么养家？别等到那天，才后悔没早点动手。,https://www.xiaohongshu.com/explore/68eaf2e000000000040037fe?xsec_token=ABzUA-CrFC_yNTMSaDhcQ9cWbg3T-hL-XQgTY0j-QLofI=&xsec_source=pc_search
https://github.com/he-yufeng/CoreCoder,3,3.0,3.0,它的灵感来源于 Claude Code 泄露的源码，它使用了极简的 1400 行 python 代码实现了 Claude Code 的核心功能。,https://www.xiaohongshu.com/explore/6a08113f0000000036033bf2?xsec_token=ABnb6hZyFo1Bgmz3nbAiOzHsBDkl-yiuncSRn807AFhYw=&xsec_source=pc_search
GenAI_Agents,3,3.7,3.7,当然还有各大厂开源的Coding CLI也是很值得学习的，其他各种各样垂类的Agent其实没太大必要学，原理都是相通的，否则永远也学不完的项目。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
Gemini,3,3.0,2.7,是的是的，Gemini也挺好用，gpt二十块的不行，简单的统计也不会做[笑哭R],https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
RLHF,3,4.0,4.0,手撕代码：torch写SFT的loss计算代码（注意shift right）,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
AI Agent,3,2.7,2.7,AI Engineering From Scratch - 从零开始系统学习AI工程，掌握大模型、智能体、深度学习等核心技术,https://www.xiaohongshu.com/explore/6a1251d3000000003503189f?xsec_token=AB_zM6IVwwFHCKew5ks-xECPJJLmIvkeyf1sCogsdKTi4=&xsec_source=pc_search
小鹅通,2,1.0,2.0,35岁被优化那天，靠什么养家？别等到那天，才后悔没早点动手。,https://www.xiaohongshu.com/explore/68eaf2e000000000040037fe?xsec_token=ABzUA-CrFC_yNTMSaDhcQ9cWbg3T-hL-XQgTY0j-QLofI=&xsec_source=pc_search
杰夫老师的AI Agent视频,2,2.0,1.5,"mcp,rag,agent是目前的三板斧，整体可以被skill抽象化",https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
自媒体/技术博客,2,2.0,2.0,算法的轻轻松松100万起步,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
cc,2,3.5,3.5,自己手搓一个，因为面试必会问cc、openclaw的设计哲学相关的问题，所以先去把这几个项目简单过一遍，然后自己手搓一个。,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
Suno,2,2.0,2.0,编程：Claude Code（Pro订阅，最值的一笔钱）| 基本上除了 Unity 素材和Claude Code，其他都是零成本起步的。,https://www.xiaohongshu.com/explore/6a0481b0000000000f03ac01?xsec_token=AB0o6TPGOO3p2iWgZZLaf0TllqHNOeue49RXQsMDuOehY=&xsec_source=pc_search
agent,2,3.0,3.0,有ADHD的INTP都去用agent吧，一年半载启动不了的项目一晚上能做八个,https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
知识星球,2,4.0,4.5,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search
nanobot,2,2.0,2.0,可以看下nanobot，cc其实也可以看。感觉就差不多了。或者等我过几天发个项目源码➕文档,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
Mimo Max计划,2,2.5,2.5,最近在学习agent的相关原理以及搭建各种agent，免费申请了Mimo的Max计划，正在狠狠使用，后面还是计划多参加一些活动类似黑客松，菜也没关系，以赛代练进步最快。,https://www.xiaohongshu.com/explore/6a140aa200000000370343b7?xsec_token=AB6cba2JzeP0j7V0wZ0zCMjT2znThM5e8XSnT7BSG4_aE=&xsec_source=pc_search
海外付费软件工具,2,2.0,2.0,算法的轻轻松松100万起步,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
Akashic Agent,2,4.0,4.5,它通过三个链路完美闭环，让AI像真正的好朋友一样“自主呼吸”～,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
ReAct,2,2.0,1.5,我们将以 ReAct 和 Plan-And-Execute 这两种模式为例，为大家讲解 Agent 的概念、原理与构建模式，并在这个过程中为大家演示如何从零打造一个简化版的 Claude Code，让大家彻底明白 Agent 是如何运作的。,https://www.xiaohongshu.com/explore/687ee2bb000000001c031843?xsec_token=ABj5qicmEoyyPu_lEMXxmycgbXQSSqNSdrjG0ei8zcTpI=&xsec_source=pc_search
Unity,2,2.0,2.0,编程：Claude Code（Pro订阅，最值的一笔钱）| 基本上除了 Unity 素材和Claude Code，其他都是零成本起步的。,https://www.xiaohongshu.com/explore/6a0481b0000000000f03ac01?xsec_token=AB0o6TPGOO3p2iWgZZLaf0TllqHNOeue49RXQsMDuOehY=&xsec_source=pc_search
Transformer,2,3.5,3.5,为啥agent问这么多算法知识[哭惹R],https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search
CSDN,2,1.0,2.0,35岁被优化那天，靠什么养家？别等到那天，才后悔没早点动手。,https://www.xiaohongshu.com/explore/68eaf2e000000000040037fe?xsec_token=ABzUA-CrFC_yNTMSaDhcQ9cWbg3T-hL-XQgTY0j-QLofI=&xsec_source=pc_search
LLM,2,2.0,2.0,怎么用啊 是不是很贵所以舍不得就会逼自己用，但这玩意会不会就和健身房办卡一样[doge],https://www.xiaohongshu.com/explore/685cb7f5000000002201c33d?xsec_token=ABtRrA2ixMNwbPoWwIWrnLoC8wIATLKeMwUUtaGNg_FF0=&xsec_source=pc_search
独立开发/外包开发,2,2.0,2.0,算法的轻轻松松100万起步,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
某鱼,2,3.0,3.0,作为副业老油条的我，某鱼早已不是我的主要副业渠道，几乎不再投入时间和精力，但每天仍有大量客户主动联系我。,https://www.xiaohongshu.com/explore/65afc71b000000000c0072a0?xsec_token=ABpj5s6qCKIOCDgt14xobeYPi2ZaeB_0d45peQoCgw5DM=&xsec_source=pc_search
GenAI_Agents (18.8K stars) - Agent学习开发综合资源库,2,3.0,2.5,当然还有各大厂开源的Coding CLI也是很值得学习的，其他各种各样垂类的Agent其实没太大必要学，原理都是相通的，否则永远也学不完的项目。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
大模型,2,3.5,3.5,AI Engineering From Scratch - 从零开始系统学习AI工程，掌握大模型、智能体、深度学习等核心技术,https://www.xiaohongshu.com/explore/6a1251d3000000003503189f?xsec_token=AB_zM6IVwwFHCKew5ks-xECPJJLmIvkeyf1sCogsdKTi4=&xsec_source=pc_search
闲鱼,2,3.0,3.0,用python技能去变现，实现经济自由 以下是几个不错的兼职平台,https://www.xiaohongshu.com/explore/666aadb3000000001d01bccc?xsec_token=AB_HXhIr-hnaL9s71RjW54mDhr8DviqH4hPkO5mRLH7io=&xsec_source=pc_search
Cursor,2,3.0,3.0,我们将以 ReAct 和 Plan-And-Execute 这两种模式为例，为大家讲解 Agent 的概念、原理与构建模式，并在这个过程中为大家演示如何从零打造一个简化版的 Claude Code，让大家彻底明白 Agent 是如何运作的。,https://www.xiaohongshu.com/explore/687ee2bb000000001c031843?xsec_token=ABj5qicmEoyyPu_lEMXxmycgbXQSSqNSdrjG0ei8zcTpI=&xsec_source=pc_search
Coze,2,4.0,3.5,给大家整理了一个我实践过的Agent项目集合，每个项目都会包含完整的工作流文档。涵盖了Agent智能客服、知识库问答、coze、智能体等，跟业务流程结合很紧密，项目也经得起推敲，不至于刷完之后在简历上什么都写不出来。,https://www.xiaohongshu.com/explore/69d266e6000000002300484b?xsec_token=ABsc3r3xgmJfQomjiRcPlNj_QvH0D6HFDcwQ8Q_FaNahc=&xsec_source=pc_search
React,2,4.5,4.5,主要是针对于自己agent项目的拷问 – 有没有观测这个agent的系统？– 有没有监测这个agent运行中消耗的token数量，tts，做了什么改进？– 主要在这个项目怎么表现multi agent的？,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
Coplay MCP,2,2.0,2.0,编程：Claude Code（Pro订阅，最值的一笔钱）| 基本上除了 Unity 素材和Claude Code，其他都是零成本起步的。,https://www.xiaohongshu.com/explore/6a0481b0000000000f03ac01?xsec_token=AB0o6TPGOO3p2iWgZZLaf0TllqHNOeue49RXQsMDuOehY=&xsec_source=pc_search
Deer-flow (18.8K stars) - 字节跳动DeepResearch项目,2,3.0,2.5,当然还有各大厂开源的Coding CLI也是很值得学习的，其他各种各样垂类的Agent其实没太大必要学，原理都是相通的，否则永远也学不完的项目。,https://www.xiaohongshu.com/explore/694e6553000000001e02bd7d?xsec_token=ABbF3eWac6LzsNLpY-zAllX_JZ9Kx_YDimvWz4AV5SkQw=&xsec_source=pc_search
小游戏开发,2,2.0,2.0,算法的轻轻松松100万起步,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
R语言,2,3.0,3.0,我是研一刚入学在宿舍听师兄讲我们专业想找到满意的工作非常困难。于是我自己下定决心想着转行，加上自己之前的python基础于是自学r语言，自学生物信息学相关的知识，再到做一些项目，逐渐丰富自己的能力。,https://www.xiaohongshu.com/explore/66b193b7000000001e01f00f?xsec_token=ABEr5_qR4HUJXti3RU5pgNz0aetgzAeP_pfgpy0EH2IS4=&xsec_source=pc_search
langchain,2,3.5,3.5,Agent 才 1 岁多，市场已经要求 5 年以上经,https://www.xiaohongshu.com/explore/69d28386000000001a032278?xsec_token=ABsc3r3xgmJfQomjiRcPlNj8wUBEDDEz7-H6mrWOhdvcM=&xsec_source=pc_search
TTS,2,4.5,4.5,主要是针对于自己agent项目的拷问 – 有没有观测这个agent的系统？– 有没有监测这个agent运行中消耗的token数量，tts，做了什么改进？– 主要在这个项目怎么表现multi agent的？,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search
插件创作,2,2.0,2.0,算法的轻轻松松100万起步,https://www.xiaohongshu.com/explore/666989bd000000001c034d3e?xsec_token=AB47DEGb_pggq5f9K9rmmvL4-xHKCDLEPHAOQqPzVH7MQ=&xsec_source=pc_search
ElevenLabs,2,2.0,2.0,编程：Claude Code（Pro订阅，最值的一笔钱）| 基本上除了 Unity 素材和Claude Code，其他都是零成本起步的。,https://www.xiaohongshu.com/explore/6a0481b0000000000f03ac01?xsec_token=AB0o6TPGOO3p2iWgZZLaf0TllqHNOeue49RXQsMDuOehY=&xsec_source=pc_search
中文助教,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
Agent学习课程/项目,1,5.0,5.0,想问问有没有什么比较好上手，好直接进行学习的并且学习时间也不会很长的Agent项目，我可以花钱买🥹,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search
Agentic RL项目,1,3.0,4.0,兄弟，找到agentic rl 的项目了吗,https://www.xiaohongshu.com/explore/6a08113f0000000036033bf2?xsec_token=ABnb6hZyFo1Bgmz3nbAiOzHsBDkl-yiuncSRn807AFhYw=&xsec_source=pc_search
作业帮,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
学而思,1,2.0,3.0,入门途径：通过“程序员客栈”、“码市”等平台接项目，也可以在校内论坛寻找师兄师姐介绍机会。初级程序员时薪可达50-100元。,https://www.xiaohongshu.com/explore/68b027b7000000001d00ea24?xsec_token=AB0FovS-i00ivnJ62umONNwENH-dkeqoorpyBOM5NItwA=&xsec_source=pc_search
Agent开发,1,4.0,4.0,想问问你在后端部分学了哪些东西呢 不知道agent开发现在需要多少后端知识,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search
向量数据库,1,3.0,4.0,请问修改的时候加的向量数据库也是从零开始搭吗，还是就是改一下原项目的数据？,https://www.xiaohongshu.com/explore/69f5912600000000350312e2?xsec_token=ABuNsgyCSuf2KqehYQ7mppDSplLuH6S21yUUN9tM4kUYQ=&xsec_source=pc_search
力扣（LeetCode）,1,3.0,4.0,要是agent没有基础的话是不是得从机器学习开始看然后再看深度学习？,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
多agent系统,1,4.0,4.0,跟我们开发经验差不多……我们现在招人标准也是看顶层架构的设计能力，是否擅长管理多个agent并行处理任务,https://www.xiaohongshu.com/explore/69d9e6480000000022028e44?xsec_token=ABsVYQoAnfyZoMOYk3CJRaX0Iwro9Di09YVGWO1q3lvQ8=&xsec_source=pc_search
多 Agent 协作框架,1,3.0,3.0,有几个 examples 需要人来提交代码，你想参与吗？,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search
外包岗位（作为降本增效背景下的备选方案）,1,4.0,4.0,我们公司降本增效，今年招了两个外包，一个35+，一个40+（均指年龄）。说明只要你降低薪资要求，外包也可以是备选。,https://www.xiaohongshu.com/explore/6911bbda000000000400748f?xsec_token=ABBJIlizVb67Tda8IeHrhr93uR32PU1wudEcCViJnhQz8=&xsec_source=pc_search
向量数据库（记忆存储）,1,5.0,4.0,分享帮我拿到字节暑期岗位的agent项目。这绝对不是那种只会回“好的”的无聊AI！它作为我的项目和我一起努力拿到了字节的暑期实习的机会。,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search
完整工作流文档（存放于知识库）,1,4.0,4.0,给大家整理了一个我实践过的Agent项目集合，每个项目都会包含完整的工作流文档。涵盖了Agent智能客服、知识库问答、coze、智能体等，跟业务流程结合很紧密，项目也经得起推敲，不至于刷完之后在简历上什么都写不出来。,https://www.xiaohongshu.com/explore/69d266e6000000002300484b?xsec_token=ABsc3r3xgmJfQomjiRcPlNj_QvH0D6HFDcwQ8Q_FaNahc=&xsec_source=pc_search
小程序/企业系统定制开发,1,2.0,2.0,目前已经连续两个月副业超过主业了，自媒体也在不断的创新高。,https://www.xiaohongshu.com/explore/6988c5a3000000002800b0ee?xsec_token=ABVCimK5UvAy-yRs0x95cmsv3Bzzket0txEwnBs0btfqE=&xsec_source=pc_search
Coze（扣子）,1,4.0,3.0,老师好，我跟您一样，也是无技术背景的小白，虽然现在在干的行业和ai产品经理没关系，但希望尽快转行本行业的ai产品经理。目前想咨询一下，如果自己手搓技能从头开始，需要投入很长时间么？因为我在自己用扣子的时候就遇到了困难，工作流不会搭建,https://www.xiaohongshu.com/explore/69ba7bd8000000001a032f7d?xsec_token=ABvOt1D6R1jjMuN9xF4LRE6WuxeFMLznb_LLqCmK-fMpI=&xsec_source=pc_search
世坤WorldQuant顾问兼职,1,2.0,2.0,结果没想到还真是零门槛，培训给了代码，只要会jupyter和Python就能跑，纯小白秒变「量化大师」,https://www.xiaohongshu.com/explore/67d30cdf000000001201ec5b?xsec_token=ABs88PIC_ZuL0pfoST-puyvD3cCA_1G4j8U9CD9MjPVvQ=&xsec_source=pc_search
learn-claude-code（渐进式 Agent 设计教程项目）,1,3.0,2.0,项目就是 P2 的 learn-claude-code，在学习的这两小时里，star 数又涨了 1k,https://www.xiaohongshu.com/explore/69b98f42000000001e00dedd?xsec_token=ABpOjDfNa32uGudL3LKs_tpqpVYa-j-eVcOU9qkcbjY9Y=&xsec_source=pc_search
hello-agent 教程,1,4.0,4.0,目前agent项目备选：自己根据helloagent实现旅游助手，或者买个付费教程 rag微调打算看看FinGLM 再高级一点看看能不能复现一个agentic rl论文,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search
