机会点,出现次数,对应痛点,用户原话证据,平均actionability,平均relevance,note_url,优先级
Agent项目面试题库/题解功能,1,Agent项目面试被深度拷问技术细节；终面未能通过,主要是针对于自己agent项目的拷问 – 有没有观测这个agent的系统？– 有没有监测这个agent运行中消耗的token数量，tts，做了什么改进？– 主要在这个项目怎么表现multi agent,5.0,5.0,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search,中
RAG系统评估工具,1,Agent多轮对话中Attention的局限性理解；RAG系统评估指标缺失,手撕代码：torch写SFT的loss计算代码（注意shift right）,5.0,5.0,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search,中
SFT训练数据构建辅助工具,1,Agent多轮对话中Attention的局限性理解；RAG系统评估指标缺失,手撕代码：torch写SFT的loss计算代码（注意shift right）,5.0,5.0,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search,中
STAR法则简历生成器：帮助用户把项目经历转化为结构化简历内容,1,不知道如何用简历语言描述AI项目的技术栈；不清楚Agent项目在简历中应该突出哪些亮点,请问可以分享一下简历里面如何描述这个项目的技术栈和亮点吗,5.0,4.0,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search,中
multi agent设计模式教程,1,Agent项目面试被深度拷问技术细节；终面未能通过,主要是针对于自己agent项目的拷问 – 有没有观测这个agent的系统？– 有没有监测这个agent运行中消耗的token数量，tts，做了什么改进？– 主要在这个项目怎么表现multi agent,5.0,5.0,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search,中
业务场景模板：提供常见场景的Agent架构设计和落地指南,1,不知道能写进简历的Agent项目有哪些；纯API调用的项目没有竞争力,最近在学agent相关的知识，想要一个能写进简历的项目,5.0,5.0,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search,中
可写在简历上的Agent项目库（含代码demo）,1,不知道Agent学习的系统路径；不清楚哪些Agent项目可以写进简历,uu怎么学习agent的呀，是先看hello-agent，然后再找个可以写道简历上的agent项目做吗[哭惹R]aagent相关的八股在哪里看呀,5.0,5.0,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search,中
基于常见面试问题构建知识库,1,Agent项目面试被深度拷问技术细节；终面未能通过,主要是针对于自己agent项目的拷问 – 有没有观测这个agent的系统？– 有没有监测这个agent运行中消耗的token数量，tts，做了什么改进？– 主要在这个项目怎么表现multi agent,5.0,5.0,https://www.xiaohongshu.com/explore/69f1d5d3000000003503b2b9?xsec_token=AB7d7z3KYc0GvBVHop0qtj_dQXUifUWIQ5o88EAPqBeYA=&xsec_source=pc_search,中
多工具调度可视化调试器,1,Agent多轮对话中Attention的局限性理解；RAG系统评估指标缺失,手撕代码：torch写SFT的loss计算代码（注意shift right）,5.0,5.0,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search,中
学习路径规划：按难度分级，从基础到实战的项目路线,1,找不到完整学习路线的Agent项目；找不到能写到简历上的Agent项目,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,5.0,4.0,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search,中
学习进度打卡+项目实战的串联功能,1,不知道Agent学习的系统路径；不清楚哪些Agent项目可以写进简历,uu怎么学习agent的呀，是先看hello-agent，然后再找个可以写道简历上的agent项目做吗[哭惹R]aagent相关的八股在哪里看呀,5.0,5.0,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search,中
建立「Agent项目库」，区分玩具项目和实战项目,1,不知道什么项目可以写进简历；纯API调用的项目被认为没有价值,想要一个能写进简历的项目 但是又不知道写什么,5.0,5.0,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search,中
开发「简历项目推荐」功能，根据用户技能水平推荐可写进简历的项目,1,不知道什么项目可以写进简历；纯API调用的项目被认为没有价值,想要一个能写进简历的项目 但是又不知道写什么,5.0,5.0,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search,中
推出「项目→简历」转化指导，帮助用户将项目经历结构化表述,1,不知道什么项目可以写进简历；纯API调用的项目被认为没有价值,想要一个能写进简历的项目 但是又不知道写什么,5.0,5.0,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search,中
提供从cc/openclaw等项目中提取的面试要点总结,1,找不到可以写到简历上的完整路线的agent项目；市面上缺乏好学且有完整路线的agent项目,自己手搓一个，因为面试必会问cc、openclaw的设计哲学相关的问题，所以先去把这几个项目简单过一遍，然后自己手搓一个。,5.0,5.0,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search,中
提供可写到简历上的agent项目推荐,1,找不到可以写到简历上的完整路线的agent项目；市面上缺乏好学且有完整路线的agent项目,自己手搓一个，因为面试必会问cc、openclaw的设计哲学相关的问题，所以先去把这几个项目简单过一遍，然后自己手搓一个。,5.0,5.0,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search,中
提供完整路线的agent项目学习资源库,1,找不到可以写到简历上的完整路线的agent项目；市面上缺乏好学且有完整路线的agent项目,自己手搓一个，因为面试必会问cc、openclaw的设计哲学相关的问题，所以先去把这几个项目简单过一遍，然后自己手搓一个。,5.0,5.0,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search,中
提供开源项目改造教程,1,高学历但能力不足；摆烂两年后需要重新学习,这篇笔记重点介绍了怎么把开源项目变成自己的，结合了我自己的亲身经历，适合比较基础找不到方向的宝宝，仅仅是给大家提供一些思路,5.0,5.0,https://www.xiaohongshu.com/explore/69f5912600000000350312e2?xsec_token=ABuNsgyCSuf2KqehYQ7mppDSplLuH6S21yUUN9tM4kUYQ=&xsec_source=pc_search,中
提供手搓agent项目的详细教程和路线图,1,找不到可以写到简历上的完整路线的agent项目；市面上缺乏好学且有完整路线的agent项目,自己手搓一个，因为面试必会问cc、openclaw的设计哲学相关的问题，所以先去把这几个项目简单过一遍，然后自己手搓一个。,5.0,5.0,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search,中
提供项目复杂度评估，告诉用户哪些项目足够写简历,1,不知道什么项目可以写进简历；纯API调用的项目被认为没有价值,想要一个能写进简历的项目 但是又不知道写什么,5.0,5.0,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search,中
教育行业Agent套件：测试卷生成、微课生成等,1,不知道能写进简历的Agent项目有哪些；纯API调用的项目没有竞争力,最近在学agent相关的知识，想要一个能写进简历的项目,5.0,5.0,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search,中
模拟面试+项目讲解一体化服务,1,简历项目经验不足，只有1个项目；多次面试无offer，简历竞争力不够,想问问有没有什么比较好上手，好直接进行学习的并且学习时间也不会很长的Agent项目，我可以花钱买🥹,5.0,5.0,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search,中
简历关键词优化工具：根据目标岗位JD优化Agent项目的技术描述,1,不知道如何用简历语言描述AI项目的技术栈；不清楚Agent项目在简历中应该突出哪些亮点,请问可以分享一下简历里面如何描述这个项目的技术栈和亮点吗,5.0,4.0,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search,中
简历项目制作指南,1,高学历但能力不足；摆烂两年后需要重新学习,这篇笔记重点介绍了怎么把开源项目变成自己的，结合了我自己的亲身经历，适合比较基础找不到方向的宝宝，仅仅是给大家提供一些思路,5.0,5.0,https://www.xiaohongshu.com/explore/69f5912600000000350312e2?xsec_token=ABuNsgyCSuf2KqehYQ7mppDSplLuH6S21yUUN9tM4kUYQ=&xsec_source=pc_search,中
简历项目包装服务：指导如何将项目经历写得更有吸引力,1,简历项目经验不足，只有1个项目；多次面试无offer，简历竞争力不够,想问问有没有什么比较好上手，好直接进行学习的并且学习时间也不会很长的Agent项目，我可以花钱买🥹,5.0,5.0,https://www.xiaohongshu.com/explore/6a032f37000000003501c680?xsec_token=ABsl6oE4q8UWcm3Yf2FbTD2HSoksv7A1wdxx-NE5WDbAg=&xsec_source=pc_search,中
简历项目库：收录可写到简历上的Agent项目，附带完整代码和文档,1,找不到完整学习路线的Agent项目；找不到能写到简历上的Agent项目,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,5.0,4.0,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search,中
简历项目库：收集可展示的Agent项目并按行业/难度分类,1,不知道能写进简历的Agent项目有哪些；纯API调用的项目没有竞争力,最近在学agent相关的知识，想要一个能写进简历的项目,5.0,5.0,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search,中
简历项目描述优化Agent：输入项目技术细节，输出简历 bullet points,1,不知道如何用简历语言描述AI项目的技术栈；不清楚Agent项目在简历中应该突出哪些亮点,请问可以分享一下简历里面如何描述这个项目的技术栈和亮点吗,5.0,4.0,https://www.xiaohongshu.com/explore/69e4ff92000000002102c20a?xsec_token=ABHYx5VtRfFnIO8y9nYAxc_qZhxm-enFiZFOLQDiX1UHE=&xsec_source=pc_search,中
简历项目生成器：自动将用户的技术栈和项目经历包装成HR/面试官喜欢的表述,1,,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,5.0,5.0,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search,中
资源推荐Agent：根据用户背景推荐合适的Agent学习资料和项目,1,找不到完整学习路线的Agent项目；找不到能写到简历上的Agent项目,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,5.0,4.0,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search,中
面试场景Agent定制：类似该帖针对Java后端面试的设计思路产品化,1,,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,5.0,5.0,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search,中
项目复杂度评估：类似这篇帖子，评估项目是否达到校招/实习标准,1,,基于 Java + LangChain4j 构建的企业级智能 Agent系统，围绕 Java 后端面试场景进行定制化设计，通过整合 RAG、分布式记忆与工具调用机制，实现领域增强问答与能力评估能力。,5.0,5.0,https://www.xiaohongshu.com/explore/69aee1800000000015022708?xsec_token=ABQRVt9TKPGUj9FGshvyarrkFqiaXHhLfxvqK3Kf8W19c=&xsec_source=pc_search,中
项目对比工具：区分玩具项目和生产级项目,1,不知道能写进简历的Agent项目有哪些；纯API调用的项目没有竞争力,最近在学agent相关的知识，想要一个能写进简历的项目,5.0,5.0,https://www.xiaohongshu.com/explore/69e393060000000021005e87?xsec_token=ABFxlnedGClAd6D5yb3ZzVURTlN1VAbpJTh-EUs7xP6-o=&xsec_source=pc_search,中
项目点评服务：帮助用户判断项目含金量是否值得写入简历,1,找不到完整学习路线的Agent项目；找不到能写到简历上的Agent项目,主播在B站找了好久没找到好学有完整路线的agent项目，求推荐对应项目或者知识星球！,5.0,4.0,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search,中
AI Agent学习路径规划Agent（根据面试需求智能推荐学习重点）,1,高学历低能力的焦虑感；感觉没办法手敲代码，只能看一遍理解,随便投个学历厂拿段实习吧主播，暑期和日常都行，其实没必要学这么多，agent方向很多东西你能有个概念能答上来就行了，反而是开发的八股会问的细,4.0,4.0,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search,中
AI PM面试题库/实战模拟工具,1,面试9场全部失败；AI理论和实践太匮乏,基于您的面试经验 我想请教下我个人偏技术相关 熟悉很多ai知识和开发要领 您觉得会在这个岗位占优势吗？,4.0,4.0,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search,中
AI 实习机会聚合平台,1,大模型基础比较薄弱；不确定简历项目是否足够有竞争力,大模型的基础比较薄弱，主要还是体现agent harness的理解，第二个项目纯凑数，重点还是第一个coding agent。想找那种agent多一些，不太涉及llm的实习。,4.0,5.0,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search,中
AI 项目库：收集可写进简历的 Agent 项目案例,1,不知道从哪里入门学习 Agent；Agent 基础概念不清晰,项目就是 P2 的 learn-claude-code，在学习的这两小时里，star 数又涨了 1k，参考 README 上写的，就是一个渐进式 Agent 设计教程,4.0,3.0,https://www.xiaohongshu.com/explore/69b98f42000000001e00dedd?xsec_token=ABpOjDfNa32uGudL3LKs_tpqpVYa-j-eVcOU9qkcbjY9Y=&xsec_source=pc_search,中
AI/Agent岗位面试题库和知识图谱工具,1,Agent岗位面试需要掌握大量深度学习算法知识（Transformer、Attention、SFT、RLHF等）；从传统AI应用开发转向Agent岗位需要补足大量理论基础,为啥agent问这么多算法知识[哭惹R],4.0,4.0,https://www.xiaohongshu.com/explore/69a52b4e000000001a029c8d?xsec_token=ABUludtE7UrkTfwre6F_UIOCXDwV8gUo9nzR4vFOivXUw=&xsec_source=pc_search,中
AI产品经理技能学习路径规划,1,面试9场全部失败；AI理论和实践太匮乏,基于您的面试经验 我想请教下我个人偏技术相关 熟悉很多ai知识和开发要领 您觉得会在这个岗位占优势吗？,4.0,4.0,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search,中
AI入门学习引导Agent：为零基础用户提供从工具选择到项目实操的完整学习路径,1,不知道AI工具怎么入门；文科生转行不知道从哪开始,宝我想问问ai工具怎么入门[哭惹R]我想试试做一个ai项目，也是文科生转行[哭惹R]现在还没开始学[哭惹R],4.0,4.0,https://www.xiaohongshu.com/explore/69ba7bd8000000001a032f7d?xsec_token=ABvOt1D6R1jjMuN9xF4LRE6WuxeFMLznb_LLqCmK-fMpI=&xsec_source=pc_search,中
AI副业工具使用指南：教程序员如何用AI工具降本增效做副业,1,大龄女程序员职场竞争力下降；大厂更新淘汰速度快,工作越久其实越有点焦虑未来发展问题，因为我不是那种技术型大佬，大龄女程序员比男程序员处境更难，大厂的更新汰换速度蛮快的,4.0,4.0,https://www.xiaohongshu.com/explore/6911bbda000000000400748f?xsec_token=ABBJIlizVb67Tda8IeHrhr93uR32PU1wudEcCViJnhQz8=&xsec_source=pc_search,中
AI副业项目库（低门槛、可承接的活源）,1,大龄女程序员职场处境比男程序员更难；非技术型大佬，对未来发展焦虑,第二副业好想做不太费脑子的啊，体力一点都行hhh（痴心妄想）希望现阶段时间要求不要太高，重力还是在正职上,4.0,3.0,https://www.xiaohongshu.com/explore/6911bbda000000000400748f?xsec_token=ABBJIlizVb67Tda8IeHrhr93uR32PU1wudEcCViJnhQz8=&xsec_source=pc_search,中
AI学习路线智能规划Agent（根据基础推荐学习顺序）,1,代码无法手敲，只能看懂；loss等概念不好理解,要是agent没有基础的话是不是得从机器学习开始看然后再看深度学习？,4.0,3.0,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search,中
AI实习项目推荐与简历匹配,1,不知道如何快速入门AI Agent开发；缺乏可以写进简历的Agent项目经验,想问下学长，找agent实习的话有可以快速入门的项目推荐吗,4.0,4.0,https://www.xiaohongshu.com/explore/69be69140000000021010e56?xsec_token=ABdkUKCMd_18FuXS2udFKlRTQFlcI-_9pmG9RM7vtkZas=&xsec_source=pc_search,中
AI辅助接单Agent：帮助用户筛选需求、报价、自动生成代码方案,1,大学生暑期想赚钱但缺乏渠道；编程技术变现困难,将客户的问题描述清楚，直接扔给gpt。gpt给出的代码可能不能一次成功，如果报错了就重新抛给它，让它继续修改，直到代码可以正常运行。,4.0,4.0,https://www.xiaohongshu.com/explore/668b88520000000025002abb?xsec_token=AB7kAw-HvVfJFD4kGj4sP1TbRnlPydqnwhQRTyAO0wRrQ=&xsec_source=pc_search,中
AI面试官产品：根据Agent开发岗位定制技术八股题库,1,不确定实习面试考察范围；不清楚需要准备哪些技术八股知识,请问面试过程中会遇到类似于计算机网络、数据库这种传统八股的拷打吗？关于八股的部分都学习了哪些内容呢？,4.0,4.0,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search,中
AI面试题库+agent设计思路,1,agent项目优化部分耗时长；缺乏训练数据导致项目无法深入,agent实现是简单的，难得是优化部分，这部分耗时长且没数据基本搞不来（demo测几条就结束，基本没条件）,4.0,4.0,https://www.xiaohongshu.com/explore/69ddf696000000001a021021?xsec_token=ABkNauXBhzJNP04soRJQ-xKxr0g_1B_4o5DTpdSKuTamI=&xsec_source=pc_search,中
AI项目实战案例库,1,不知道从哪里学习Agent项目；缺乏AI项目实战经验,请教一下agent项目从哪里学,4.0,4.0,https://www.xiaohongshu.com/explore/69da0a5e0000000022003563?xsec_token=ABVias0c714Aub7-Sl8XNBRkAUu96h4mqFYBBKYL7gDGw=&xsec_source=pc_search,中
Agent 学习助手：自动生成学习计划、跟踪进度,1,高学历但感觉自己能力不足；无法手敲代码，只能看懂就行,目前agent项目备选：自己根据helloagent实现旅游助手，或者买个付费教程 rag微调打算看看FinGLM 再高级一点看看能不能复现一个agentic rl论文,4.0,4.0,https://www.xiaohongshu.com/explore/69cbd2680000000023026a87?xsec_token=ABx0vtyusVcGF-gwZPz9aJJB_zNoF20gQLIOwOOc0CmrQ=&xsec_source=pc_search,中
Agent 学习路径推荐功能：根据用户目标推荐学习项目,1,不知道从哪里入门学习 Agent；Agent 基础概念不清晰,项目就是 P2 的 learn-claude-code，在学习的这两小时里，star 数又涨了 1k，参考 README 上写的，就是一个渐进式 Agent 设计教程,4.0,3.0,https://www.xiaohongshu.com/explore/69b98f42000000001e00dedd?xsec_token=ABpOjDfNa32uGudL3LKs_tpqpVYa-j-eVcOU9qkcbjY9Y=&xsec_source=pc_search,中
Agent 技能树/学习地图产品：整合类似 learn-claude-code 的学习资源,1,不知道从哪里入门学习 Agent；Agent 基础概念不清晰,项目就是 P2 的 learn-claude-code，在学习的这两小时里，star 数又涨了 1k，参考 README 上写的，就是一个渐进式 Agent 设计教程,4.0,3.0,https://www.xiaohongshu.com/explore/69b98f42000000001e00dedd?xsec_token=ABpOjDfNa32uGudL3LKs_tpqpVYa-j-eVcOU9qkcbjY9Y=&xsec_source=pc_search,中
Agent 项目创意库（类似 claude-code-from-scratch 的项目推荐）,1,大模型基础比较薄弱；不确定简历项目是否足够有竞争力,大模型的基础比较薄弱，主要还是体现agent harness的理解，第二个项目纯凑数，重点还是第一个coding agent。想找那种agent多一些，不太涉及llm的实习。,4.0,5.0,https://www.xiaohongshu.com/explore/69e8c40d000000001f0055a7?xsec_token=ABW5QVp664UiLYr_OTNA6ogRsQ3r7TWTugKKtshfU1P3g=&xsec_source=pc_search,中
Agent 项目推荐 Agent：基于招聘市场需求推荐值得学习的开源项目,1,不知道哪些 AI/Agent 项目值得写入简历；难以判断项目与市面产品的差异化价值,佬，这个项目能写在简历上吗[哭惹R]跟那些市面上的agent项目比是不是更吸引面试官一点,4.0,4.0,https://www.xiaohongshu.com/explore/6a08113f0000000036033bf2?xsec_token=ABnb6hZyFo1Bgmz3nbAiOzHsBDkl-yiuncSRn807AFhYw=&xsec_source=pc_search,中
Agent学习路线中增加后端模块（Python后端、数据库、API开发）,1,不会后端技术，在暑期Agent实习面试中处于劣势；Agent开发者需要兼顾后端技能储备,我暑期面agent不会后端好吃亏，感觉现在好多面试官都是后端转的rag，agent问得反而不深,4.0,4.0,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search,中
Agent学习路线生成器：根据用户背景定制学习计划,1,高学历低能力零基础的自我认知焦虑；不知道如何从零开始学习agent开发,高学历低能力零基础如何找到Agent开发实习 这期给大家整理了下我的学习路径和经历！,4.0,5.0,https://www.xiaohongshu.com/explore/69f43c20000000003502f629?xsec_token=ABzOLlZiL8BB-3w_DK2vrAG4VzOzdhVOfXdPxpHZV_3kc=&xsec_source=pc_search,中
